zaehlstelle,x_coord,y_coord
b31901,731824.0443,212378.5118
b11401,610255.2514,240538.9853
b32001,547499.2024,253401.9068
b05425,724181.4392,243783.2969
b32002,572894.4626,263407.229
l31102,685970.5636,211337.3128
b06603,716825.6548,194390.4824
b31724,605647.7983,213785.5168
b07602,671146.1592,199335.144
b14501,570719.3123,270895.313
l11802,702455.0576,274175.183
b06706,682679.6893,206676.8129
b32057,583473.6409,269321.2947
b06701,682051.2938,209325.8857
b09702,566376.7923,217626.6211
b02501,638323.7968,287997.9273
l70202,556833.7016,279850.1875
l40902,704176.9648,234818.2732
l10402,701273.8141,244401.6108
l30301,679317.2215,203804.691
b09602,580070.5175,226627.9684
b07005,659323.1354,212832.4039
b07004,662739.1911,210933.9585
b31702,613635.0195,230697.2106
b07304,696233.6809,202825.1865
b07205,701831.529,247169.6783
b06404,699949.3686,224064.7745
l31202,686188.1381,203826.5599
l37101,686785.9425,204277.8993
l37102,687024.8069,202642.6186
l37002,686934.6153,207066.4741
b32003,592149.5013,271902.4724
b07803,628836.4221,224607.0176
b07804,628260.7142,225427.3324
l53701,628403.6647,225507.3838
b06703,678938.6999,219384.5032
b07202,697659.4162,230061.266
b09201,605846.5879,214906.1167
b05001,726285.2715,238011.6326
b06502,720905.9297,216106.3593
b11503,648881.5348,262890.3826
l39002,685824.5065,208973.9661
l39003,684796.7833,208856.2868
b07307,687328.9818,206924.3152